id,Geographic Area Name,Total population,Margin of Error Total population,White Percentage,Margin of Error White Percentage,Black Percentage,Margin of Error Black Percentage,Native Percentage,Margin of Error Native Percentage,Asian Percentage,Margin of Error Asian Percentage,Islander Percentage,Margin of Error Islander Percentage,Other Percentage,Margin of Error Other Percentage,Mixed Percentage,Margin of Error Mixed Percentage,Latino Total Percentage,Margin of Error Latino Total Percentage,White Alone Percentage,Margin of Error White Alone Percentage,Mean Income Total,Margin of Error Mean Income Total,Mean Income White,Margin of Error Mean Income White,Mean Income Black,Margin of Error Mean Income Black,Mean Income Native,Margin of Error Mean Income Native,Mean Income Asian,Margin of Error Mean Income Asian,Mean Income Islander,Margin of Error Mean Income Islander,Mean Income Other,Margin of Error Mean Income Other,Mean Income Mixed,Margin of Error Mean Income Mixed,Mean Income Latino Total,Margin of Error Mean Income Latino Total,Mean Income White Alone,Margin of Error Mean Income White Alone
0500000US36045,Jefferson,119504,*****,85.7,0.8,4.5,0.9,0.7,0.9,0.8,0.2,0.8,1.1,1.5,0.6,5.8,1.3,7,*****,82.7,0.1,22784,1396,24252,1627,18781,3599,N,N,24706,6952,N,N,22196,5772,7265,2728,21660,4584,24143,1594
0500000US36047,Kings,2592149,*****,43,0.4,34.1,0.3,0.3,0.1,11.4,0.1,0,0.1,8.8,0.4,2.3,0.2,19.6,*****,35.7,0.1,26641,503,34264,787,21501,646,17766,4622,22653,1112,N,N,14801,1090,25428,7346,17225,836,37085,947
0500000US36051,Livingston,64705,*****,93.3,0.8,2.4,0.5,0,0.2,1.3,0.5,0,0.1,0.8,0.7,2.1,0.9,3.2,*****,91.4,0.1,24486,1296,25615,1341,6833,4948,N,N,20501,14129,N,N,N,N,N,N,5284,2672,26100,1390
0500000US36053,Madison,72382,*****,94.5,0.3,2.7,0.3,0.3,0.3,1.1,0.5,0,0.2,0.2,0.2,1.2,0.5,1.9,0.5,93.6,0.2,25560,1877,25956,1773,2727,1829,36234,9736,N,N,N,N,N,N,7437,7720,8586,5878,26085,1795
0500000US36055,Monroe,749606,*****,75.3,0.5,15.7,0.4,0.4,0.1,3.6,0.1,0.1,0.1,2.5,0.5,2.5,0.5,7.9,*****,71.6,0.4,28824,755,33146,962,15047,947,17261,4661,23504,3827,N,N,13219,4061,10281,2173,13660,1539,34020,984
0500000US36059,Nassau,1352146,*****,69.6,0.5,11.2,0.3,0.3,0.2,8.5,0.1,0,0.1,6,0.6,4.3,0.6,15.7,*****,63.1,0.1,42183,745,48038,830,28777,1839,20188,4880,41294,3199,N,N,20047,1883,16723,1989,22650,1250,50065,925
0500000US36061,New York,1626159,*****,56.6,0.8,15.1,0.5,0.3,0.1,11.5,0.3,0.1,0.1,12.6,0.9,3.8,0.5,25.8,*****,47.1,0.2,63336,2591,88123,4272,21620,1479,20660,9550,60995,5200,28069,19867,14844,997,32574,6085,20028,975,100032,5065
0500000US36063,Niagara,214249,*****,88.2,0.4,7.4,0.4,1,0.4,1.1,0.2,0.1,0.1,0.4,0.2,1.9,0.5,2.5,*****,86.7,0.1,25710,1370,27230,1542,13905,1848,11705,5618,20715,10750,N,N,15772,8789,14057,6738,16226,6009,27460,1571
0500000US36065,Oneida,233585,*****,86.2,0.6,6.6,0.7,0.2,0.1,3.3,0.3,0,0.1,1.3,0.5,2.5,0.7,5.1,*****,83.6,0.1,23226,837,24952,925,12336,2130,5686,2128,18260,5844,N,N,7503,3510,8096,2956,7831,1623,25416,942
0500000US36067,Onondaga,468387,*****,80.4,0.5,11,0.4,0.7,0.2,3.5,0.1,0,0.1,1.2,0.4,3.2,0.5,4.5,*****,78,0.3,29022,935,32086,1072,16839,2570,12954,5677,19823,3810,N,N,14071,4333,13121,3831,17913,3220,32400,1089
0500000US36069,Ontario,109103,*****,93.3,0.7,2,0.4,0.4,0.2,1.1,0.4,0.3,0.4,1.3,0.7,1.6,0.6,4.1,*****,90.9,0.1,30405,2073,31574,2129,13824,5288,11808,3611,27200,25240,N,N,9398,6624,11435,6883,9595,3254,32170,2174
