race,date,meanIncome,county,percentage
latino,2010,8591,Broome,0
latino,2010,13115,Cattaraugus,0
latino,2010,5077,Cayuga,0
latino,2010,10240,Chautauqua,0
latino,2010,11268,Chemung,0
latino,2010,10533,Clinton,0
latino,2010,21808,Dutchess,0
latino,2010,14000,Erie,0
latino,2010,15453,Jefferson,0
latino,2010,15603,Kings,0
latino,2010,13683,Livingston,0
latino,2010,7278,Madison,0
latino,2010,13408,Monroe,0
latino,2010,20642,Nassau,0
latino,2010,20276,New York,0
latino,2010,18445,Niagara,0
latino,2010,8740,Oneida,0
latino,2010,11957,Onondaga,0
latino,2010,13610,Ontario,0
latino,2010,19111,Orange,0
latino,2010,7128,Oswego,0
latino,2010,17050,Putnam,0
latino,2010,19088,Queens,0
latino,2010,8200,Rensselaer,0
latino,2010,21123,Richmond,0
latino,2010,21480,Rockland,0
latino,2010,13352,St. Lawrence,0
latino,2010,21710,Saratoga,0
latino,2010,12011,Schenectady,0
latino,2010,19704,Steuben,0
latino,2010,18853,Suffolk,0
latino,2010,17768,Sullivan,0
latino,2010,16463,Tompkins,0
latino,2010,15486,Ulster,0
latino,2010,0,Warren,0
latino,2010,10190,Wayne,0
latino,2010,18863,Westchester,0
total,2011,30154,Albany,100
total,2011,16879,Bronx,100
total,2011,23667,Broome,100
total,2011,20950,Cattaraugus,100
total,2011,24139,Cayuga,100
total,2011,20693,Chautauqua,100
total,2011,26467,Chemung,100
total,2011,24050,Clinton,100
total,2011,31667,Dutchess,100
total,2011,26817,Erie,100
total,2011,21908,Jefferson,100
total,2011,23577,Kings,100
total,2011,22218,Livingston,100
total,2011,24653,Madison,100
total,2011,27165,Monroe,100
total,2011,40351,Nassau,100
total,2011,59398,New York,100
total,2011,24856,Niagara,100
total,2011,24872,Oneida,100
total,2011,27216,Onondaga,100
total,2011,28536,Ontario,100
total,2011,29089,Orange,100
total,2011,21161,Oswego,100
total,2011,39611,Putnam,100
total,2011,25088,Queens,100
total,2011,28615,Rensselaer,100
total,2011,30274,Richmond,100
total,2011,33209,Rockland,100
total,2011,21169,St. Lawrence,100
total,2011,33413,Saratoga,100
total,2011,27153,Schenectady,100
total,2011,23238,Steuben,100
total,2011,35049,Suffolk,100
total,2011,23751,Sullivan,100
total,2011,26435,Tompkins,100
total,2011,27797,Ulster,100
total,2011,27902,Warren,100
total,2011,26010,Wayne,100
total,2011,45450,Westchester,100
white,2011,33844,Albany,77.3
white,2011,22618,Bronx,22.6
