race,date,meanIncome,county,MOE
Latino,2011,7413,Oneida,1744
Latino,2011,14080,Onondaga,2435
Latino,2011,13983,Ontario,6313
Latino,2011,18765,Orange,1403
Latino,2011,9892,Oswego,5467
Latino,2011,25510,Putnam,7592
Latino,2011,18624,Queens,620
Latino,2011,22315,Rensselaer,5591
Latino,2011,23002,Richmond,2025
Latino,2011,20022,Rockland,2513
Latino,2011,12316,St. Lawrence,4619
Latino,2011,20564,Saratoga,4974
Latino,2011,9664,Schenectady,1960
Latino,2011,12786,Steuben,5489
Latino,2011,20822,Suffolk,943
Latino,2011,17101,Sullivan,3002
Latino,2011,20324,Tompkins,10333
Latino,2011,14577,Ulster,2725
Latino,2011,22836,Warren,7394
Latino,2011,14867,Wayne,3207
Latino,2011,20159,Westchester,1493
Native,2011,25676,Albany,12993
Native,2011,14140,Bronx,4837
Native,2011,16181,Broome,6351
Native,2011,13066,Cattaraugus,3656
Native,2011,10891,Cayuga,6442
Native,2011,11621,Chautauqua,8961
Native,2011,0,Chemung,0
Native,2011,0,Clinton,0
Native,2011,25347,Dutchess,19192
Native,2011,23618,Erie,6043
Native,2011,8642,Jefferson,3983
Native,2011,16874,Kings,3592
Native,2011,0,Livingston,0
Native,2011,26107,Madison,13859
Native,2011,8259,Monroe,5522
Native,2011,11835,Nassau,5847
Native,2011,15551,New York,7004
Native,2011,19382,Niagara,4664
Native,2011,12107,Oneida,6327
Native,2011,20254,Onondaga,9580
Native,2011,0,Ontario,0
Native,2011,13422,Orange,4667
Native,2011,7850,Oswego,4536
Native,2011,0,Putnam,0
Native,2011,21389,Queens,6534
Native,2011,0,Rensselaer,0
Native,2011,0,Richmond,0
Native,2011,28400,Rockland,11179
Native,2011,19200,St. Lawrence,6691
Native,2011,0,Saratoga,0
Native,2011,0,Schenectady,0
Native,2011,33696,Steuben,10231
Native,2011,28170,Suffolk,8064
Native,2011,0,Sullivan,0
Native,2011,0,Tompkins,0
Native,2011,0,Ulster,0
Native,2011,0,Warren,0
Native,2011,0,Wayne,0
Native,2011,21341,Westchester,8830
Other,2011,17516,Albany,4587
Other,2011,13053,Bronx,527
Other,2011,2216,Broome,1500
Other,2011,0,Cattaraugus,0
Other,2011,2064,Cayuga,1494
Other,2011,7022,Chautauqua,3568
Other,2011,0,Chemung,0
Other,2011,0,Clinton,0
Other,2011,11955,Dutchess,2216
Other,2011,11555,Erie,2311
Other,2011,14793,Jefferson,5197
Other,2011,12836,Kings,671
Other,2011,0,Livingston,0
Other,2011,0,Madison,0
Other,2011,11725,Monroe,2496
Other,2011,18633,Nassau,1746
Other,2011,15229,New York,1442
Other,2011,14614,Niagara,6289
Other,2011,10888,Oneida,4457
Other,2011,13320,Onondaga,5510
Other,2011,11810,Ontario,6717
Other,2011,17783,Orange,2338
Other,2011,2140,Oswego,1805
Other,2011,37707,Putnam,23928
Other,2011,17980,Queens,890
Other,2011,21081,Rensselaer,9474
Other,2011,16656,Richmond,3155
Other,2011,16950,Rockland,3418
Other,2011,0,St. Lawrence,0
Other,2011,0,Saratoga,0
Other,2011,6901,Schenectady,3947
Other,2011,11567,Steuben,9223
Other,2011,16704,Suffolk,1593
Other,2011,16914,Sullivan,4230
Other,2011,13743,Tompkins,8767
Other,2011,14322,Ulster,7011
Other,2011,0,Warren,0
Other,2011,21477,Wayne,12451
Other,2011,15492,Westchester,1353
Islander,2011,0,Albany,0
Islander,2011,6095,Bronx,3068
Islander,2011,0,Broome,0
Islander,2011,0,Cattaraugus,0
Islander,2011,0,Cayuga,0
Islander,2011,0,Chautauqua,0
Islander,2011,0,Chemung,0
Islander,2011,0,Clinton,0
Islander,2011,0,Dutchess,0
Islander,2011,0,Erie,0
Islander,2011,0,Jefferson,0
Islander,2011,0,Kings,0
Islander,2011,0,Livingston,0
Islander,2011,0,Madison,0
Islander,2011,0,Monroe,0
Islander,2011,0,Nassau,0
Islander,2011,0,New York,0
Islander,2011,0,Niagara,0
Islander,2011,0,Oneida,0
Islander,2011,0,Onondaga,0
Islander,2011,0,Ontario,0
Islander,2011,0,Orange,0
Islander,2011,0,Oswego,0
Islander,2011,0,Putnam,0
Islander,2011,29516,Queens,15442
Islander,2011,0,Rensselaer,0
Islander,2011,0,Richmond,0
Islander,2011,0,Rockland,0
Islander,2011,0,St. Lawrence,0
Islander,2011,0,Saratoga,0
Islander,2011,0,Schenectady,0
Islander,2011,0,Steuben,0
Islander,2011,0,Suffolk,0
Islander,2011,0,Sullivan,0
Islander,2011,0,Tompkins,0
Islander,2011,0,Ulster,0
Islander,2011,0,Warren,0
Islander,2011,0,Wayne,0
Islander,2011,0,Westchester,0
White,2012,34083,Albany,1463
White,2012,25434,Bronx,1278
White,2012,26015,Broome,1080
White,2012,22138,Cattaraugus,1014
White,2012,24727,Cayuga,1171
White,2012,23760,Chautauqua,1955
White,2012,24545,Chemung,1189
White,2012,26813,Clinton,1776
White,2012,35344,Dutchess,1192
White,2012,30538,Erie,731
White,2012,23220,Jefferson,1039
White,2012,30529,Kings,796
White,2012,23849,Livingston,1087
White,2012,25036,Madison,1692
White,2012,31282,Monroe,752
White,2012,44834,Nassau,880
White,2012,84204,New York,2613
White,2012,27658,Niagara,1388
White,2012,27431,Oneida,1817
White,2012,30940,Onondaga,822
White,2012,27394,Ontario,1325
White,2012,31158,Orange,1123
White,2012,23129,Oswego,1164
White,2012,41568,Putnam,2496
White,2012,30045,Queens,574
White,2012,31913,Rensselaer,1566
White,2012,32443,Richmond,1050
White,2012,35705,Rockland,1349
White,2012,24069,St. Lawrence,1830
White,2012,34643,Saratoga,1417
White,2012,31958,Schenectady,1721
White,2012,24678,Steuben,1341
White,2012,39201,Suffolk,672
White,2012,26725,Sullivan,1941
White,2012,31637,Tompkins,3954
White,2012,32722,Ulster,2079
White,2012,30230,Warren,2184
White,2012,25013,Wayne,1168
White,2012,55310,Westchester,1741
All,2012,31014,Albany,1157
All,2012,17603,Bronx,404
All,2012,24948,Broome,1037
All,2012,21470,Cattaraugus,959
All,2012,23797,Cayuga,1072
All,2012,22671,Chautauqua,1831
All,2012,22979,Chemung,1110
All,2012,25736,Clinton,1707
All,2012,32405,Dutchess,1066
All,2012,27469,Erie,564
All,2012,22544,Jefferson,1036
All,2012,24190,Kings,384
All,2012,22837,Livingston,1005
All,2012,24071,Madison,1620
All,2012,27948,Monroe,667
All,2012,39933,Nassau,652
All,2012,60290,New York,1572
All,2012,26104,Niagara,1200
All,2012,25304,Oneida,1575
All,2012,27951,Onondaga,691
All,2012,26947,Ontario,1287
All,2012,29397,Orange,949
All,2012,22861,Oswego,1119
All,2012,40356,Putnam,2377
All,2012,25352,Queens,306
All,2012,29887,Rensselaer,1365
All,2012,29939,Richmond,760
All,2012,33091,Rockland,1176
All,2012,23082,St. Lawrence,1739
All,2012,34109,Saratoga,1355
All,2012,28324,Schenectady,1473
All,2012,24502,Steuben,1308
All,2012,36279,Suffolk,595
All,2012,24418,Sullivan,1722
All,2012,28819,Tompkins,3378
All,2012,30683,Ulster,1843
All,2012,29642,Warren,2102
All,2012,24305,Wayne,1148
All,2012,45803,Westchester,1153
Asian,2012,29637,Albany,5489
Asian,2012,19894,Bronx,2727
Asian,2012,25065,Broome,7849
Asian,2012,12133,Cattaraugus,5370
Asian,2012,21596,Cayuga,11130
Asian,2012,0,Chautauqua,0
Asian,2012,24924,Chemung,22862
Asian,2012,47206,Clinton,19652
Asian,2012,29800,Dutchess,7976
Asian,2012,20272,Erie,5484
Asian,2012,22211,Jefferson,13159
Asian,2012,19636,Kings,1023
Asian,2012,0,Livingston,0
Asian,2012,8146,Madison,4408
Asian,2012,30786,Monroe,4454
Asian,2012,38581,Nassau,2288
Asian,2012,52328,New York,4365
